time,satellite,brdc_x_km,brdc_y_km,brdc_z_km,sp3_x_km,sp3_y_km,sp3_z_km,dx_km,dy_km,dz_km,position_error_km,brdc_radius_km,sp3_radius_km,radius_difference_km
2022-07-04 03:15:00,R01,10777.9726562,12485.8369141,19455.0268555,17223.457509,-15777.865427,10273.77563,-6445.4848528,28263.7023411,9181.2512255,30408.49419290145,25506.055907794198,25517.425255938975,-11.369348144777177
2022-07-04 03:15:00,R02,23827.7001953,8639.75244141,3193.60742188,128.124342,-12100.707806,22490.574006,23699.5758533,20740.460247410003,-19296.96658412,36935.20686620503,25546.110216841953,25539.566644181046,6.543572660906648
2022-07-04 03:15:00,R20,10989.5839844,14818.3076172,17596.4619141,10403.289619,15897.773859,16999.821107,586.294365400001,-1079.4662418000007,596.6408071000005,1365.6385696012496,25494.8753415764,25494.343808749025,0.5315328273754858
2022-07-04 03:45:00,R01,5745.76416016,11404.8789062,22081.5263672,18573.639026,-16982.824964,4212.76212,-12827.87486584,28387.7038702,17868.7642472,35912.51648545157,25508.407934534323,25517.51898413556,-9.111049601237028
2022-07-04 03:45:00,R02,22390.6962891,8005.74853516,9358.69628906,4524.317296,-15004.691673,20150.187322,17866.3789931,23010.44020816,-10791.49103294,31066.768992162924,25554.265517713447,25527.245607553705,27.01991015974272
2022-07-04 03:45:00,R20,12301.8686523,18362.1123047,12700.6450195,6454.286224,13358.726964,20738.179316,5847.582428299999,5003.385340700001,-8037.534296500002,11127.894800487124,25491.361763158253,25498.73483337138,-7.373070213128813
2022-07-04 03:45:00,R21,10809.2050781,832.680175781,23099.3764648,21811.861378,12253.933673,5046.481186,-11002.656299900002,-11421.253497218999,18052.8952788,24029.36755407403,25516.92504511697,25522.20914411649,-5.284098999520211
2022-07-04 04:15:00,R02,19450.7167969,7467.56542969,14804.0351562,7865.077664,-18023.188388,16255.536104,11585.6391329,25490.753817689998,-1451.500947800001,28037.696398123106,25558.84141086827,25513.47135061274,45.3700602555291
2022-07-04 04:15:00,R20,13609.2119141,20444.0805664,6820.90527344,1491.381144,11185.402769,22871.612616,12117.830770100001,9258.6777974,-16050.70734256,22140.23810453175,25489.1315638171,25503.884340974455,-14.752777157355013
2022-07-04 04:15:00,R21,13204.6787109,4144.29052734,21442.1352539,20066.598965,11194.83597,11100.11262,-6861.920254100001,-7050.54544266,10342.0226339,14274.227571842246,25520.655322299954,25518.723451497888,1.9318708020655322
2022-07-04 04:45:00,R03,25118.3666992,651.965820312,4600.58691406,-3566.925452,-12318.589874,22086.11656,28685.2921512,12970.555694312,-17485.529645939998,36011.45717432151,25544.525930620726,25539.521498372807,5.004432247918885
2022-07-04 04:45:00,R21,15992.0458984,8186.36425781,18129.7099609,16824.5396,10116.508053,16296.455823,-832.4937016000003,-1930.1437951899998,1833.2541378999995,2789.143518616709,25523.48869266186,25514.375170271614,9.113522390245635
2022-07-04 05:15:00,R21,18718.1020508,11005.5092773,13418.1210938,12332.779597,9446.494978,20233.701291,6385.3224537999995,1559.014299299999,-6815.580197200001,9468.63252264492,25525.174877457353,25509.53523471123,15.639642746122263
2022-07-04 05:45:00,R04,23777.0688477,9248.56396484,36.9365234375,-8859.401371,-6565.407956,23030.588865,32636.4702187,15813.971920839998,-22993.6523415625,42940.99375018993,25512.473472926267,25534.321955944844,-21.8484830185771
2022-07-04 05:45:00,R21,20883.550293,12513.3999023,7671.07861328,7012.264625,9499.433426,22606.954771,13871.285668,3013.9664763,-14935.87615772,20605.265264059843,25525.542051957756,25504.617123259708,20.92492869804846
2022-07-04 06:45:00,R12,5786.44482422,18459.9501953,16648.440918,20008.691035,7013.596919,14222.263315,-14222.24621078,11446.3532763,2426.177603,18416.77573212012,25522.99531631888,25530.590131790734,-7.594815471853508
2022-07-04 07:15:00,R12,6484.83447266,13933.8857422,20384.1899414,22474.376126,8419.251369,8692.126846,-15989.541653339998,5514.6343732000005,11692.0630954,20561.638407013885,25528.835648763084,25525.172770703844,3.662878059240029
