inertia_factor,mean_position_error_km,max_position_error_km,mean_radius_error_km,max_radius_error_km,min_radius_error_km
0.999,32.07229126333522,51.05551873727195,23.649543091404944,51.053515600113315,0.0
1.0,1.8010284621696983e-15,1.1368683772161603e-13,0.0,0.0,0.0
1.001,32.00821076129926,50.95350970880578,-23.58642362530932,0.0,-50.95150256118359
