time,satellite,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,mod_x_km,mod_y_km,mod_z_km,real_radius_km,modified_radius_km,position_error_km,radius_error_km,inertia_factor
2022-07-04 01:35:00,R01,3521.485601,-11227.336745,22636.846343,3.0975241033333334,-0.27394233666666573,-0.5502173699999912,3537.317943160162,-11225.585941862864,22641.29517223023,25512.364915473245,25517.731972987098,16.53845371917237,5.367057513853069,0.999
2022-07-04 01:40:00,R01,4440.754151,-11331.089599,22422.890312,3.064228500000001,-0.34584284666666765,-0.7131867700000051,4457.506681898901,-11329.442652573576,22427.12497102903,25512.739932711524,25518.651435827884,17.357766594302127,5.911503116360109,0.999
2022-07-04 01:45:00,R01,5347.559558,-11455.747821,22160.507321,3.0226846899999993,-0.41552740666666677,-0.8746099699999953,5365.219802019021,-11454.225657578581,22164.479334392392,25513.10714297257,25519.580974291406,18.165299080450172,6.473831318835437,0.999
2022-07-04 01:50:00,R01,6239.480641,-11600.504322,21850.26566,2.9730702766666672,-0.48252166999999946,-1.03413887,6258.033698915918,-11599.127059980983,21853.92712117918,25513.465633008967,25520.51850860717,18.96098907407115,7.052875598201354,0.999
2022-07-04 01:55:00,R01,7114.159677,-11764.413623,21492.836817,2.915596786666665,-0.5463643366666656,-1.1914294766666718,7133.588289506508,-11763.200434355358,21496.140491549548,25513.81449813162,25521.461995258782,19.74479871117631,7.6474971271600225,0.999
2022-07-04 02:00:00,R01,7969.312317,-11946.396438,21088.994014,2.850508800000001,-0.6066093833333313,-1.346142676666665,7989.596938155157,-11945.365414335338,21091.8934414995,25514.152840772018,25522.409429043855,20.51671379705282,8.256588271837245,0.999
2022-07-04 02:05:00,R01,8802.73713,-12145.244909,20639.610548,2.7780827099999987,-0.6628282366666645,-1.4979448866666645,8823.856010227228,-12144.412932853857,20642.0601422002,25514.47978016765,25523.358855901024,21.276743127307082,8.879075733373611,0.999
2022-07-04 02:10:00,R01,9612.324806,-12359.628469,20145.657888,2.69862558666667,-0.7146118666666674,-1.6465088666666634,9634.254084301303,-12359.011091012015,20147.613035093094,25514.794449654004,25524.30837300959,22.024917764923725,9.513923355585575,0.999
2022-07-04 02:15:00,R01,10396.066892,-12588.100297,19608.203597,2.6124736200000007,-0.7615727600000052,-1.7915143033333394,10418.780696913916,-12587.711619540545,19609.62075180981,25515.09600631896,25525.256140867852,22.761290200467048,10.160134548892529,0.999
2022-07-04 02:20:00,R01,11152.064099,-12829.104346,19028.409013,2.519990689999995,-0.8033468299999974,-1.932648613333331,11175.534657874876,-12828.956913834838,19029.245792850852,25515.383625467606,25526.200379827882,23.485933463696174,10.816754360275809,0.999
2022-07-04 02:25:00,R01,11878.534092,-13080.982907,18407.526757,2.4215666433333354,-0.8395952033333318,-2.0696075200000026,11902.731848065067,-13081.087605526529,18407.74203309109,25515.656513162725,25527.139384334285,24.198940145413847,11.482871171559964,0.999
2022-07-04 02:30:00,R01,12573.818735,-13341.984666,17746.898036,2.3176154766666697,-0.8700058633333356,-2.20209573666667,12598.71247168869,-13342.350627548552,17746.452022080077,25515.913903064433,25528.071521067144,24.900421333736155,12.157618002711388,0.999
2022-07-04 02:35:00,R01,13236.390788,-13610.273234,17047.949748,2.2085735099999995,-0.8942952266666665,-2.329827626666665,13261.947759976978,-13610.907752673678,17046.80408614414,25516.155063157956,25528.995236623225,25.590505498469973,12.84017346526889,0.999
2022-07-04 02:40:00,R01,13864.859979,-13883.936086,16312.191418,2.0948973033333336,-0.9122095066666649,-2.4525277666666625,13891.046049266268,-13884.844541462466,16310.309261319317,25516.37929516807,25529.90905748187,26.269337279189248,13.529762313799438,0.999
2022-07-04 02:45:00,R01,14457.978471,-14160.993892,15541.211942,1.9770616399999987,-0.9235260200000024,-2.569931586666668,14484.758253470472,-14162.179682603608,15538.55803409209,25516.58594137006,25530.811597022905,26.93707622785143,14.22565565284458,0.999
2022-07-04 02:50:00,R01,15014.645646,-14439.410181,14736.676178,1.8555572500000017,-0.928054296666663,-2.6817858800000005,15041.982652869872,-14440.874666587591,14733.216928986985,25516.774385202883,25531.70155594645,27.593895454859265,14.927170743565512,0.999
2022-07-04 02:55:00,R01,15533.912252,-14717.10129,13900.321351,1.7308886866666642,-0.9256370300000041,-2.7878494233333306,15561.769045262265,-14718.843744665672,13896.024909967968,25516.944054765292,25532.577725259485,28.239980252475423,15.633670494193211,0.999
2022-07-04 03:00:00,R01,16014.983815,-14991.946571,13033.953327,1.6035718766666651,-0.9161509366666662,-2.8878934133333374,16043.32216137838,-14993.964146067074,13028.789650708706,25517.094425362087,25533.438987918056,28.875526617771797,16.344562555968878,0.999
